n, t
2, 0.004
3, 0.003
4, 0.003
5, 0.005
6, 0.003
7, 0.010
8, 0.005
9, 0.011
10, 0.007
11, 0.009
12, 0.007
13, 0.029
14, 0.017
15, 0.007
16, 0.022
17, 0.012
18, 0.027
19, 0.007
20, 0.005
21, 0.007
22, 0.007
23, 0.019
24, 0.015
25, 0.012
26, 0.009
27, 0.007
28, 0.007
29, 0.011
30, 0.007
31, 0.026
32, 0.017
33, 0.007
34, 0.005
35, 0.042
36, 0.018
37, 0.038
38, 0.015
39, 0.018
40, 0.031
41, 0.061
42, 0.009
43, 0.023
44, 0.011
45, 0.007
46, 0.008
47, 0.014
48, 0.005
49, 0.024
